Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
3.80189396320563e+004	(-9.88697136997231e+001dB,-1.63788709117044e+000°)
3.98107170553500e+004	(-9.88693706028021e+001dB,-1.71502965289089e+000°)
4.16869383470338e+004	(-9.88689944182509e+001dB,-1.79580064828285e+000°)
4.36515832240169e+004	(-9.88685819566282e+001dB,-1.88037002266504e+000°)
4.57088189614878e+004	(-9.88681297221164e+001dB,-1.96891557613972e+000°)
4.78630092322641e+004	(-9.88676338812051e+001dB,-2.06162331028227e+000°)
5.01187233627275e+004	(-9.88670902332134e+001dB,-2.15868779026777e+000°)
5.24807460249776e+004	(-9.88664941715786e+001dB,-2.26031251763510e+000°)
5.49540873857628e+004	(-9.88658406487329e+001dB,-2.36671031754210e+000°)
5.75439937337161e+004	(-9.88651241298362e+001dB,-2.47810374207161e+000°)
6.02559586074362e+004	(-9.88643385509145e+001dB,-2.59472548129140e+000°)
6.30957344480197e+004	(-9.88634772633216e+001dB,-2.71681879133619e+000°)
6.60693448007600e+004	(-9.88625329821357e+001dB,-2.84463793790567e+000°)
6.91830970918941e+004	(-9.88614977238302e+001dB,-2.97844864535611e+000°)
7.24435960074995e+004	(-9.88603627390561e+001dB,-3.11852856555401e+000°)
7.58577575029189e+004	(-9.88591184422449e+001dB,-3.26516774773645e+000°)
7.94328234724287e+004	(-9.88577543305778e+001dB,-3.41866913370249e+000°)
8.31763771102677e+004	(-9.88562588980292e+001dB,-3.57934904554210e+000°)
8.70963589956087e+004	(-9.88546195420438e+001dB,-3.74753769497149e+000°)
9.12010839355916e+004	(-9.88528224587284e+001dB,-3.92357968697771e+000°)
9.54992586021443e+004	(-9.88508525319127e+001dB,-4.10783453513690e+000°)
1.00000000000001e+005	(-9.88486932105315e+001dB,-4.30067717189018e+000°)
1.04712854805091e+005	(-9.88463263768355e+001dB,-4.50249846152206e+000°)
1.09647819614319e+005	(-9.88437321982743e+001dB,-4.71370569965999e+000°)
1.14815362149689e+005	(-9.88408889757742e+001dB,-4.93472310873359e+000°)
1.20226443461742e+005	(-9.88377729682439e+001dB,-5.16599230981808e+000°)
1.25892541179418e+005	(-9.88343582098410e+001dB,-5.40797277823112e+000°)
1.31825673855642e+005	(-9.88306163097094e+001dB,-5.66114226055853e+000°)
1.38038426460290e+005	(-9.88265162349739e+001dB,-5.92599716262537e+000°)
1.44543977074594e+005	(-9.88220240763332e+001dB,-6.20305287586017e+000°)
1.51356124843622e+005	(-9.88171027965442e+001dB,-6.49284405775792e+000°)
1.58489319246113e+005	(-9.88117119566407e+001dB,-6.79592482011642e+000°)
1.65958690743757e+005	(-9.88058074255613e+001dB,-7.11286885100329e+000°)
1.73780082874939e+005	(-9.87993410654944e+001dB,-7.44426941191904e+000°)
1.81970085861000e+005	(-9.87922603958643e+001dB,-7.79073921843942e+000°)
1.90546071796326e+005	(-9.87845082340330e+001dB,-8.15291018179885e+000°)
1.99526231496890e+005	(-9.87760223144837e+001dB,-8.53143296867697e+000°)
2.08929613085406e+005	(-9.87667348817212e+001dB,-8.92697637242241e+000°)
2.18776162394957e+005	(-9.87565722596924e+001dB,-9.34022646316997e+000°)
2.29086765276779e+005	(-9.87454544017157e+001dB,-9.77188547519786e+000°)
2.39883291901951e+005	(-9.87332944114205e+001dB,-1.02226704040921e+001°)
2.51188643150960e+005	(-9.87199980491583e+001dB,-1.06933112830668e+001°)
2.63026799189541e+005	(-9.87054632156090e+001dB,-1.11845490804164e+001°)
2.75422870333819e+005	(-9.86895794214720e+001dB,-1.16971331980283e+001°)
2.88403150312663e+005	(-9.86722272445384e+001dB,-1.22318184990710e+001°)
3.01995172040204e+005	(-9.86532777817640e+001dB,-1.27893618485984e+001°)
3.16227766016841e+005	(-9.86325920996566e+001dB,-1.33705180944367e+001°)
3.31131121482594e+005	(-9.86100206937197e+001dB,-1.39760354579061e+001°)
3.46736850452535e+005	(-9.85854029671290e+001dB,-1.46066502766061e+001°)
3.63078054770105e+005	(-9.85585667352394e+001dB,-1.52630810626929e+001°)
3.80189396320565e+005	(-9.85293277774998e+001dB,-1.59460218443909e+001°)
3.98107170553501e+005	(-9.84974894437077e+001dB,-1.66561347517514e+001°)
4.16869383470339e+005	(-9.84628423393491e+001dB,-1.73940418231335e+001°)
4.36515832240170e+005	(-9.84251641067021e+001dB,-1.81603160507419e+001°)
4.57088189614879e+005	(-9.83842193215111e+001dB,-1.89554716479350e+001°)
4.78630092322643e+005	(-9.83397595350280e+001dB,-1.97799535922606e+001°)
5.01187233627277e+005	(-9.82915234809800e+001dB,-2.06341264974475e+001°)
