time	V(bf_source)	V(samplecap)
1.231071996293031e-003	-7.982359616796959e-002	-9.975378560074140e-002
1.331071996293031e-003	-7.980548595968351e-002	-9.973378560074139e-002
1.431071996293031e-003	-7.978737575161837e-002	-9.971378560074140e-002
1.531071996293031e-003	-7.976926554392771e-002	-9.969378560074139e-002
1.631071996293031e-003	-7.975115533613066e-002	-9.967378560074139e-002
1.731071996293031e-003	-7.973304512815350e-002	-9.965378560074140e-002
1.831071996293031e-003	-7.971493492007478e-002	-9.963378560074139e-002
1.931071996293031e-003	-7.969682471223442e-002	-9.961378560074140e-002
2.031071996293031e-003	-7.967871450474384e-002	-9.959378560074139e-002
2.131071996293031e-003	-7.966060429726216e-002	-9.957378560074140e-002
2.231071996293031e-003	-7.964249408997692e-002	-9.955378560074139e-002
2.331071996293031e-003	-7.962438388276227e-002	-9.953378560074140e-002
2.431071996293031e-003	-7.960627367527745e-002	-9.951378560074140e-002
2.531071996293031e-003	-7.958816346804737e-002	-9.949378560074139e-002
2.631071996293031e-003	-7.957005326133119e-002	-9.947378560074140e-002
2.731071996293031e-003	-7.955194305481078e-002	-9.945378560074139e-002
2.831071996293031e-003	-7.953383284805707e-002	-9.943378560074140e-002
2.931071996293031e-003	-7.951572264094720e-002	-9.941378560074139e-002
3.031071996293031e-003	-7.949761243404073e-002	-9.939378560074140e-002
3.131071996293031e-003	-7.947950222748561e-002	-9.937378560074139e-002
3.231071996293031e-003	-7.946139202092627e-002	-9.935378560074139e-002
3.331071996293031e-003	-7.944328181433091e-002	-9.933378560074140e-002
3.431071996293031e-003	-7.942517160796266e-002	-9.931378560074139e-002
3.531071996293031e-003	-7.940706140174936e-002	-9.929378560074140e-002
3.631071996293031e-003	-7.938895119527568e-002	-9.927378560074139e-002
3.731071996293031e-003	-7.937084098883104e-002	-9.925378560074140e-002
3.831071996293031e-003	-7.935273078306621e-002	-9.923378560074139e-002
3.931071996293031e-003	-7.933462057771389e-002	-9.921378560074140e-002
4.031071996293031e-003	-7.931651037209762e-002	-9.919378560074139e-002
4.131071996293031e-003	-7.929840016620464e-002	-9.917378560074139e-002
4.231071996293031e-003	-7.928028996026623e-002	-9.915378560074140e-002
4.331071996293030e-003	-7.926217975447027e-002	-9.913378560074139e-002
4.431071996293031e-003	-7.924406954894925e-002	-9.911378560074140e-002
4.531071996293031e-003	-7.922595934347936e-002	-9.909378560074139e-002
4.631071996293030e-003	-7.920784913807744e-002	-9.907378560074140e-002
4.731071996293031e-003	-7.918973893290635e-002	-9.905378560074139e-002
4.831071996293031e-003	-7.917162872772560e-002	-9.903378560074140e-002
4.931071996293030e-003	-7.915351852262077e-002	-9.901378560074139e-002
5.031071996293031e-003	-7.913540831776772e-002	-9.899378560074139e-002
5.131071996293031e-003	-7.911729811294502e-002	-9.897378560074140e-002
5.231071996293031e-003	-7.909918790820626e-002	-9.895378560074139e-002
5.331071996293030e-003	-7.908107770353834e-002	-9.893378560074140e-002
5.431071996293031e-003	-7.906296749873119e-002	-9.891378560074139e-002
5.531071996293031e-003	-7.904485729402280e-002	-9.889378560074140e-002
5.631071996293030e-003	-7.902674708964735e-002	-9.887378560074139e-002
5.731071996293031e-003	-7.900863688532540e-002	-9.885378560074140e-002
5.831071996293031e-003	-7.899052668089565e-002	-9.883378560074140e-002
5.931071996293030e-003	-7.897241647663103e-002	-9.881378560074139e-002
6.031071996293031e-003	-7.895430627266037e-002	-9.879378560074140e-002
6.131071996293031e-003	-7.893619606865915e-002	-9.877378560074139e-002
6.231071996293031e-003	-7.891808586455039e-002	-9.875378560074140e-002
6.331071996293031e-003	-7.889997566052703e-002	-9.873378560074139e-002
6.431071996293031e-003	-7.888186545659795e-002	-9.871378560074140e-002
6.531071996293031e-003	-7.886375525304221e-002	-9.869378560074139e-002
6.631071996293030e-003	-7.884564504973243e-002	-9.867378560074139e-002
6.731071996293031e-003	-7.882753484626470e-002	-9.865378560074140e-002
6.831071996293031e-003	-7.880942464279721e-002	-9.863378560074139e-002
6.931071996293030e-003	-7.879131443935843e-002	-9.861378560074140e-002
7.031071996293031e-003	-7.877320423592905e-002	-9.859378560074139e-002
7.131071996293031e-003	-7.875509403261985e-002	-9.857378560074140e-002
