Freq.	V(bf_source)/V(samplecap)
5.58041717477005e+003	(-1.06545082490452e+000dB,-1.27614294135166e-001°)
5.62341325190357e+003	(-1.06559584925080e+000dB,-1.27763282849826e-001°)
5.66674060581999e+003	(-1.06574117689044e+000dB,-1.27905231686555e-001°)
5.71040178894535e+003	(-1.06588679159322e+000dB,-1.28040104485031e-001°)
5.75439937337165e+003	(-1.06603267699658e+000dB,-1.28167867078740e-001°)
5.79873595100840e+003	(-1.06617881661288e+000dB,-1.28288487319242e-001°)
5.84341413373526e+003	(-1.06632519383661e+000dB,-1.28401935099553e-001°)
5.88843655355598e+003	(-1.06647179195168e+000dB,-1.28508182375755e-001°)
5.93380586275337e+003	(-1.06661859413870e+000dB,-1.28607203187712e-001°)
5.97952473404561e+003	(-1.06676558348333e+000dB,-1.28698973677793e-001°)
6.02559586074367e+003	(-1.06691274298322e+000dB,-1.28783472108725e-001°)
6.07202195690998e+003	(-1.06706005555592e+000dB,-1.28860678879351e-001°)
6.11880575751831e+003	(-1.06720750404734e+000dB,-1.28930576539615e-001°)
6.16595001861492e+003	(-1.06735507123864e+000dB,-1.28993149803628e-001°)
6.21345751748085e+003	(-1.06750273985527e+000dB,-1.29048385560937e-001°)
6.26133105279562e+003	(-1.06765049257410e+000dB,-1.29096272887173e-001°)
6.30957344480203e+003	(-1.06779831203250e+000dB,-1.29136803052034e-001°)
6.35818753547233e+003	(-1.06794618083499e+000dB,-1.29169969526663e-001°)
6.40717618867564e+003	(-1.06809408156334e+000dB,-1.29195767988722e-001°)
6.45654229034666e+003	(-1.06824199678317e+000dB,-1.29214196326466e-001°)
6.50628874865567e+003	(-1.06838990905296e+000dB,-1.29225254640879e-001°)
6.55641849417989e+003	(-1.06853780093172e+000dB,-1.29228945246275e-001°)
6.60693448007606e+003	(-1.06868565498770e+000dB,-1.29225272669526e-001°)
6.65783968225447e+003	(-1.06883345380668e+000dB,-1.29214243647380e-001°)
6.70913709955422e+003	(-1.06898117999939e+000dB,-1.29195867122512e-001°)
6.76082975391993e+003	(-1.06912881621018e+000dB,-1.29170154237793e-001°)
6.81292069057972e+003	(-1.06927634512571e+000dB,-1.29137118328972e-001°)
6.86541297822466e+003	(-1.06942374948152e+000dB,-1.29096774916175e-001°)
6.91830970918948e+003	(-1.06957101207178e+000dB,-1.29049141693203e-001°)
6.97161399963479e+003	(-1.06971811575599e+000dB,-1.28994238515932e-001°)
7.02532898973064e+003	(-1.06986504346737e+000dB,-1.28932087388841e-001°)
7.07945784384150e+003	(-1.07001177822099e+000dB,-1.28862712450123e-001°)
7.13400375071268e+003	(-1.07015830312096e+000dB,-1.28786139955351e-001°)
7.18896992365819e+003	(-1.07030460136814e+000dB,-1.28702398259664e-001°)
7.24435960075002e+003	(-1.07045065626844e+000dB,-1.28611517798566e-001°)
7.30017604500890e+003	(-1.07059645123938e+000dB,-1.28513531067180e-001°)
7.35642254459654e+003	(-1.07074196981799e+000dB,-1.28408472598263e-001°)
7.41310241300930e+003	(-1.07088719566785e+000dB,-1.28296378938807e-001°)
7.47021898927344e+003	(-1.07103211258607e+000dB,-1.28177288625458e-001°)
7.52777563814179e+003	(-1.07117670451080e+000dB,-1.28051242158254e-001°)
7.58577575029197e+003	(-1.07132095552754e+000dB,-1.27918281973567e-001°)
7.64422274252613e+003	(-1.07146484987598e+000dB,-1.27778452415800e-001°)
7.70312005797228e+003	(-1.07160837195676e+000dB,-1.27631799707194e-001°)
7.76247116628705e+003	(-1.07175150633782e+000dB,-1.27478371917595e-001°)
7.82227956386016e+003	(-1.07189423776034e+000dB,-1.27318218932118e-001°)
7.88254877402035e+003	(-1.07203655114535e+000dB,-1.27151392418507e-001°)
7.94328234724295e+003	(-1.07217843159926e+000dB,-1.26977945792840e-001°)
8.00448386135906e+003	(-1.07231986441979e+000dB,-1.26797934184571e-001°)
8.06615692176628e+003	(-1.07246083510137e+000dB,-1.26611414400854e-001°)
8.12830516164114e+003	(-1.07260132934045e+000dB,-1.26418444889355e-001°)
8.19093224215312e+003	(-1.07274133304160e+000dB,-1.26219085700704e-001°)
