Freq.	V(n004)/I(R5)
4.16869383470338e+004	(3.39795978662000e+001dB,-4.09041423255142e-005°)
4.36515832240169e+004	(3.39795978662235e+001dB,-4.28317928616374e-005°)
4.57088189614878e+004	(3.39795978662499e+001dB,-4.48502765612595e-005°)
4.78630092322641e+004	(3.39795978662796e+001dB,-4.69638723802433e-005°)
5.01187233627275e+004	(3.39795978663131e+001dB,-4.91770607235277e-005°)
5.24807460249776e+004	(3.39795978663510e+001dB,-5.14945329065666e-005°)
5.49540873857628e+004	(3.39795978663938e+001dB,-5.39212010499845e-005°)
5.75439937337161e+004	(3.39795978664423e+001dB,-5.64622085441168e-005°)
6.02559586074362e+004	(3.39795978664973e+001dB,-5.91229408251269e-005°)
6.30957344480197e+004	(3.39795978665597e+001dB,-6.19090368094567e-005°)
6.60693448007600e+004	(3.39795978666307e+001dB,-6.48264008672349e-005°)
6.91830970918941e+004	(3.39795978667115e+001dB,-6.78812152379241e-005°)
7.24435960074995e+004	(3.39795978668036e+001dB,-7.10799532129187e-005°)
7.58577575029189e+004	(3.39795978669086e+001dB,-7.44293926841379e-005°)
7.94328234724287e+004	(3.39795978670285e+001dB,-7.79366307196044e-005°)
8.31763771102677e+004	(3.39795978671655e+001dB,-8.16090984318121e-005°)
8.70963589956087e+004	(3.39795978673221e+001dB,-8.54545768814343e-005°)
9.12010839355916e+004	(3.39795978675011e+001dB,-8.94812135075405e-005°)
9.54992586021443e+004	(3.39795978677059e+001dB,-9.36975395138583e-005°)
1.00000000000001e+005	(3.39795978679403e+001dB,-9.81124879769308e-005°)
1.04712854805091e+005	(3.39795978682085e+001dB,-1.02735412935717e-004°)
1.09647819614319e+005	(3.39795978685153e+001dB,-1.07576109298867e-004°)
1.14815362149689e+005	(3.39795978688662e+001dB,-1.12644833777138e-004°)
1.20226443461742e+005	(3.39795978692673e+001dB,-1.17952326791125e-004°)
1.25892541179418e+005	(3.39795978697256e+001dB,-1.23509835509812e-004°)
1.31825673855642e+005	(3.39795978702486e+001dB,-1.29329137838246e-004°)
1.38038426460290e+005	(3.39795978708452e+001dB,-1.35422567799160e-004°)
1.44543977074594e+005	(3.39795978715249e+001dB,-1.41803041841698e-004°)
1.51356124843622e+005	(3.39795978722982e+001dB,-1.48484086726048e-004°)
1.58489319246113e+005	(3.39795978731770e+001dB,-1.55479868348483e-004°)
1.65958690743757e+005	(3.39795978741742e+001dB,-1.62805222384205e-004°)
1.73780082874939e+005	(3.39795978753041e+001dB,-1.70475685967947e-004°)
1.81970085861000e+005	(3.39795978765822e+001dB,-1.78507531034550e-004°)
1.90546071796326e+005	(3.39795978780256e+001dB,-1.86917799376895e-004°)
1.99526231496890e+005	(3.39795978796530e+001dB,-1.95724339008263e-004°)
2.08929613085406e+005	(3.39795978814846e+001dB,-2.04945842439825e-004°)
2.18776162394957e+005	(3.39795978835425e+001dB,-2.14601886822022e-004°)
2.29086765276779e+005	(3.39795978858505e+001dB,-2.24712975718103e-004°)
2.39883291901951e+005	(3.39795978884346e+001dB,-2.35300583016793e-004°)
2.51188643150960e+005	(3.39795978913229e+001dB,-2.46387198926506e-004°)
2.63026799189541e+005	(3.39795978945460e+001dB,-2.57996378008255e-004°)
2.75422870333819e+005	(3.39795978981368e+001dB,-2.70152789732612e-004°)
2.88403150312663e+005	(3.39795979021312e+001dB,-2.82882271141636e-004°)
3.01995172040204e+005	(3.39795979065681e+001dB,-2.96211882362667e-004°)
3.16227766016841e+005	(3.39795979114895e+001dB,-3.10169964637088e-004°)
3.31131121482594e+005	(3.39795979169413e+001dB,-3.24786201311485e-004°)
3.46736850452535e+005	(3.39795979229732e+001dB,-3.40091681644524e-004°)
3.63078054770105e+005	(3.39795979296390e+001dB,-3.56118967916017e-004°)
3.80189396320565e+005	(3.39795979369977e+001dB,-3.72902165828304e-004°)
3.98107170553501e+005	(3.39795979451131e+001dB,-3.90476998501746e-004°)
4.16869383470339e+005	(3.39795979540547e+001dB,-4.08880883884788e-004°)
4.36515832240170e+005	(3.39795979638983e+001dB,-4.28153016435057e-004°)
4.57088189614879e+005	(3.39795979747264e+001dB,-4.48334452719500e-004°)
4.78630092322643e+005	(3.39795979866286e+001dB,-4.69468201319729e-004°)
5.01187233627277e+005	(3.39795979997027e+001dB,-4.91599317375834e-004°)
5.24807460249778e+005	(3.39795980140550e+001dB,-5.14775002068712e-004°)
5.49540873857630e+005	(3.39795980298011e+001dB,-5.39044706999365e-004°)
5.75439937337163e+005	(3.39795980470668e+001dB,-5.64460244035904e-004°)
