Freq.	(V(n005)/I(R5)-50)/(V(n005)/I(R5)+50)
3.80189396320563e+004	(-9.88697136996640e+001dB,-1.64555170935240e+000°)
3.98107170553500e+004	(-9.88693706027553e+001dB,-1.72305549342589e+000°)
4.16869383470338e+004	(-9.88689944182076e+001dB,-1.80420473496501e+000°)
4.36515832240169e+004	(-9.88685819566526e+001dB,-1.88917018186773e+000°)
4.57088189614878e+004	(-9.88681297220670e+001dB,-1.97813047385189e+000°)
4.78630092322641e+004	(-9.88676338813602e+001dB,-2.07127249298499e+000°)
5.01187233627275e+004	(-9.88670902331978e+001dB,-2.16879172464880e+000°)
5.24807460249776e+004	(-9.88664941715365e+001dB,-2.27089263612392e+000°)
5.49540873857628e+004	(-9.88658406489661e+001dB,-2.37778906166839e+000°)
5.75439937337161e+004	(-9.88651241298033e+001dB,-2.48970461129794e+000°)
6.02559586074362e+004	(-9.88643385508372e+001dB,-2.60687308220145e+000°)
6.30957344480197e+004	(-9.88634772631237e+001dB,-2.72953889138679e+000°)
6.60693448007600e+004	(-9.88625329819917e+001dB,-2.85795751796451e+000°)
6.91830970918941e+004	(-9.88614977238424e+001dB,-2.99239595768235e+000°)
7.24435960074995e+004	(-9.88603627391067e+001dB,-3.13313319452221e+000°)
7.58577575029189e+004	(-9.88591184423016e+001dB,-3.28046067151771e+000°)
7.94328234724287e+004	(-9.88577543305963e+001dB,-3.43468279107500e+000°)
8.31763771102677e+004	(-9.88562588981753e+001dB,-3.59611740325011e+000°)
8.70963589956087e+004	(-9.88546195418645e+001dB,-3.76509632087295e+000°)
9.12010839355916e+004	(-9.88528224587376e+001dB,-3.94196582544595e+000°)
9.54992586021443e+004	(-9.88508525317438e+001dB,-4.12708718557731e+000°)
1.00000000000001e+005	(-9.88486932106389e+001dB,-4.32083717169173e+000°)
1.04712854805091e+005	(-9.88463263767504e+001dB,-4.52360857293570e+000°)
1.09647819614319e+005	(-9.88437321982903e+001dB,-4.73581069980322e+000°)
1.14815362149689e+005	(-9.88408889758709e+001dB,-4.95786988578421e+000°)
1.20226443461742e+005	(-9.88377729681621e+001dB,-5.19022996095762e+000°)
1.25892541179418e+005	(-9.88343582098143e+001dB,-5.43335271403543e+000°)
1.31825673855642e+005	(-9.88306163097050e+001dB,-5.68771831629013e+000°)
1.38038426460290e+005	(-9.88265162349056e+001dB,-5.95382570857271e+000°)
1.44543977074594e+005	(-9.88220240762088e+001dB,-6.23219294171588e+000°)
1.51356124843622e+005	(-9.88171027965911e+001dB,-6.52335745237123e+000°)
1.58489319246113e+005	(-9.88117119565548e+001dB,-6.82787626692582e+000°)
1.65958690743757e+005	(-9.88058074255514e+001dB,-7.14632612336060e+000°)
1.73780082874939e+005	(-9.87993410655306e+001dB,-7.47930347648240e+000°)
1.81970085861000e+005	(-9.87922603957901e+001dB,-7.82742438755584e+000°)
1.90546071796326e+005	(-9.87845082339344e+001dB,-8.19132426968454e+000°)
1.99526231496890e+005	(-9.87760223146295e+001dB,-8.57165745683862e+000°)
2.08929613085406e+005	(-9.87667348815497e+001dB,-8.96909658205829e+000°)
2.18776162394957e+005	(-9.87565722596705e+001dB,-9.38433173721241e+000°)
2.29086765276779e+005	(-9.87454544015203e+001dB,-9.81806936682085e+000°)
2.39883291901951e+005	(-9.87332944113286e+001dB,-1.02710308757649e+001°)
2.51188643150960e+005	(-9.87199980490080e+001dB,-1.07439509133567e+001°)
2.63026799189541e+005	(-9.87054632155198e+001dB,-1.12375752831580e+001°)
2.75422870333819e+005	(-9.86895794213303e+001dB,-1.17526584488247e+001°)
2.88403150312663e+005	(-9.86722272446003e+001dB,-1.22899605739878e+001°)
3.01995172040204e+005	(-9.86532777817131e+001dB,-1.28502440752005e+001°)
3.16227766016841e+005	(-9.86325920995589e+001dB,-1.34342696120575e+001°)
3.31131121482594e+005	(-9.86100206936514e+001dB,-1.40427914922146e+001°)
3.46736850452535e+005	(-9.85854029671115e+001dB,-1.46765524259602e+001°)
