time	V(samplecap)
0.000000000000000e+000	-2.000000e-002
8.190202871004920e-002	-1.672392e-002
1.638040574200984e-001	-1.344784e-002
2.457060861301476e-001	-1.017176e-002
3.276081148401968e-001	-6.895676e-003
4.095101435502460e-001	-3.619594e-003
4.914121722602952e-001	-3.435132e-004
5.733142009703443e-001	2.932568e-003
9.795642009703443e-001	1.918257e-002
9.990954509703443e-001	1.996382e-002
1.000000000000000e+000	2.000000e-002
