time	V(bf_source)
5.231071996293031e-003	-7.416912023245987e-003
5.331071996293030e-003	-7.413290051852245e-003
5.431071996293031e-003	-7.409668080189102e-003
5.531071996293031e-003	-7.406046108471204e-003
5.631071996293030e-003	-7.402424137134222e-003
5.731071996293031e-003	-7.398802165508325e-003
5.831071996293031e-003	-7.395180193573523e-003
5.931071996293030e-003	-7.391558221975248e-003
6.031071996293031e-003	-7.387936250578970e-003
6.131071996293031e-003	-7.384314279022414e-003
6.231071996293031e-003	-7.380692307368021e-003
6.331071996293031e-003	-7.377070335618124e-003
6.431071996293031e-003	-7.373448363827443e-003
6.531071996293031e-003	-7.369826392151876e-003
6.631071996293030e-003	-7.366204420655914e-003
6.731071996293031e-003	-7.362582449421503e-003
6.831071996293031e-003	-7.358960478165652e-003
6.931071996293030e-003	-7.355338506614679e-003
7.031071996293031e-003	-7.351716534984598e-003
7.131071996293031e-003	-7.348094563315089e-003
7.231071996293031e-003	-7.344472591596249e-003
7.331071996293031e-003	-7.340850620064173e-003
7.431071996293031e-003	-7.337228648557773e-003
7.531071996293031e-003	-7.333606676698561e-003
7.631071996293030e-003	-7.329984704586063e-003
7.731071996293031e-003	-7.326362732757623e-003
7.831071996293031e-003	-7.322740761386799e-003
7.931071996293030e-003	-7.319118789874922e-003
8.031071996293032e-003	-7.315496818115079e-003
8.131071996293031e-003	-7.311874846704336e-003
8.231071996293030e-003	-7.308252875397402e-003
8.331071996293031e-003	-7.304630903637335e-003
8.431071996293031e-003	-7.301008931903854e-003
8.531071996293030e-003	-7.297386960512407e-003
8.631071996293031e-003	-7.293764988975286e-003
8.731071996293031e-003	-7.290143017278680e-003
8.831071996293030e-003	-7.286521045746718e-003
8.931071996293031e-003	-7.282899074424715e-003
9.031071996293031e-003	-7.279277103223172e-003
9.131071996293030e-003	-7.275655131995785e-003
9.231071996293031e-003	-7.272033160623387e-003
9.331071996293031e-003	-7.268411188933448e-003
9.431071996293030e-003	-7.264789217072504e-003
9.531071996293031e-003	-7.261167245565226e-003
9.631071996293030e-003	-7.257545274328597e-003
9.731071996293030e-003	-7.253923302941273e-003
9.831071996293031e-003	-7.250301331462123e-003
9.931071996293030e-003	-7.246679359997801e-003
1.003107199629303e-002	-7.243057388498024e-003
1.013107199629303e-002	-7.239435417139084e-003
1.023107199629303e-002	-7.235813445845094e-003
1.033107199629303e-002	-7.232191474383473e-003
1.043107199629303e-002	-7.228569502997141e-003
1.053107199629303e-002	-7.224947531566214e-003
1.063107199629303e-002	-7.221325559955349e-003
1.073107199629303e-002	-7.217703588582508e-003
1.083107199629303e-002	-7.214081617256253e-003
1.093107199629303e-002	-7.210459645602076e-003
1.103107199629303e-002	-7.206837674010558e-003
1.113107199629303e-002	-7.203215702680641e-003
1.123107199629303e-002	-7.199593731403554e-003
