Freq.	V(bf_source)
1.36982997921497e+003	(-2.32842882368987e+001dB,-5.23918560900379e-002°)
1.38038426460289e+003	(-2.32843129119418e+001dB,-5.27606720146566e-002°)
1.39101986879806e+003	(-2.32843379349667e+001dB,-5.31315658339378e-002°)
1.40173741834677e+003	(-2.32843633103760e+001dB,-5.35045375454522e-002°)
1.41253754462276e+003	(-2.32843890426133e+001dB,-5.38795868379357e-002°)
1.42342088386435e+003	(-2.32844151361627e+001dB,-5.42567130839907e-002°)
1.43438807721197e+003	(-2.32844415955486e+001dB,-5.46359153327162e-002°)
1.44543977074593e+003	(-2.32844684253360e+001dB,-5.50171923020409e-002°)
1.45657661552446e+003	(-2.32844956301300e+001dB,-5.54005423711521e-002°)
1.46779926762207e+003	(-2.32845232145757e+001dB,-5.57859635728939e-002°)
1.47910838816821e+003	(-2.32845511833583e+001dB,-5.61734535856766e-002°)
1.49050464338620e+003	(-2.32845795412022e+001dB,-5.65630097258899e-002°)
1.50198870463249e+003	(-2.32846082928719e+001dB,-5.69546289395678e-002°)
1.51356124843621e+003	(-2.32846374431710e+001dB,-5.73483077945497e-002°)
1.52522295653902e+003	(-2.32846669969407e+001dB,-5.77440424721109e-002°)
1.53697451593528e+003	(-2.32846969590623e+001dB,-5.81418287589637e-002°)
1.54881661891249e+003	(-2.32847273344552e+001dB,-5.85416620381878e-002°)
1.56074996309212e+003	(-2.32847581280761e+001dB,-5.89435372817958e-002°)
1.57277525147067e+003	(-2.32847893449195e+001dB,-5.93474490412822e-002°)
1.58489319246112e+003	(-2.32848209900172e+001dB,-5.97533914394480e-002°)
1.59710449993461e+003	(-2.32848530684379e+001dB,-6.01613581616342e-002°)
1.60940989326254e+003	(-2.32848855852861e+001dB,-6.05713424467207e-002°)
1.62181009735894e+003	(-2.32849185457022e+001dB,-6.09833370786972e-002°)
1.63430584272314e+003	(-2.32849519548623e+001dB,-6.13973343771118e-002°)
1.64689786548288e+003	(-2.32849858179768e+001dB,-6.18133261885582e-002°)
1.65958690743757e+003	(-2.32850201402904e+001dB,-6.22313038774057e-002°)
1.67237371610209e+003	(-2.32850549270815e+001dB,-6.26512583164750e-002°)
1.68525904475076e+003	(-2.32850901836609e+001dB,-6.30731798782424e-002°)
1.69824365246175e+003	(-2.32851259153726e+001dB,-6.34970584250084e-002°)
1.71132830416179e+003	(-2.32851621275911e+001dB,-6.39228832999438e-002°)
1.72451377067121e+003	(-2.32851988257224e+001dB,-6.43506433176228e-002°)
1.73780082874938e+003	(-2.32852360152027e+001dB,-6.47803267544636e-002°)
1.75119026114047e+003	(-2.32852737014965e+001dB,-6.52119213392570e-002°)
1.76468285661951e+003	(-2.32853118900977e+001dB,-6.56454142438521e-002°)
1.77827941003893e+003	(-2.32853505865270e+001dB,-6.60807920731413e-002°)
1.79198072237534e+003	(-2.32853897963322e+001dB,-6.65180408559490e-002°)
1.80578760077673e+003	(-2.32854295250865e+001dB,-6.69571460347724e-002°)
1.81970085860999e+003	(-2.32854697783878e+001dB,-6.73980924570252e-002°)
1.83372131550889e+003	(-2.32855105618569e+001dB,-6.78408643642928e-002°)
1.84784979742230e+003	(-2.32855518811392e+001dB,-6.82854453832838e-002°)
1.86208713666288e+003	(-2.32855937418982e+001dB,-6.87318185161521e-002°)
1.87643417195610e+003	(-2.32856361498209e+001dB,-6.91799661303722e-002°)
1.89089174848965e+003	(-2.32856791106112e+001dB,-6.96298699492865e-002°)
1.90546071796326e+003	(-2.32857226299917e+001dB,-7.00815110424629e-002°)
1.92014193863881e+003	(-2.32857667137013e+001dB,-7.05348698158324e-002°)
1.93493627539096e+003	(-2.32858113674937e+001dB,-7.09899260019874e-002°)
1.94984459975806e+003	(-2.32858565971370e+001dB,-7.14466586507932e-002°)
1.96486778999348e+003	(-2.32859024084110e+001dB,-7.19050461194561e-002°)
1.98000673111740e+003	(-2.32859488071069e+001dB,-7.23650660632981e-002°)
1.99526231496889e+003	(-2.32859957990243e+001dB,-7.28266954259053e-002°)
2.01063544025850e+003	(-2.32860433899717e+001dB,-7.32899104299030e-002°)
2.02612701262116e+003	(-2.32860915857629e+001dB,-7.37546865675248e-002°)
2.04173794466954e+003	(-2.32861403922161e+001dB,-7.42209985910870e-002°)
2.05746915604785e+003	(-2.32861898151531e+001dB,-7.46888205041258e-002°)
2.07332157348597e+003	(-2.32862398603958e+001dB,-7.51581255519125e-002°)
2.08929613085405e+003	(-2.32862905337650e+001dB,-7.56288862125551e-002°)
2.10539376921756e+003	(-2.32863418410794e+001dB,-7.61010741881566e-002°)
2.12161543689270e+003	(-2.32863937881529e+001dB,-7.65746603957285e-002°)
2.13796208950225e+003	(-2.32864463807919e+001dB,-7.70496149588345e-002°)
2.15443469003190e+003	(-2.32864996247951e+001dB,-7.75259071987821e-002°)
2.17103420888697e+003	(-2.32865535259501e+001dB,-7.80035056262886e-002°)
2.18776162394957e+003	(-2.32866080900313e+001dB,-7.84823779334945e-002°)
2.20461792063620e+003	(-2.32866633227973e+001dB,-7.89624909855076e-002°)
2.22160409195583e+003	(-2.32867192299908e+001dB,-7.94438108126921e-002°)
2.23872113856835e+003	(-2.32867758173339e+001dB,-7.99263026029818e-002°)
2.25597006884359e+003	(-2.32868330905262e+001dB,-8.04099306945628e-002°)
2.27335189892065e+003	(-2.32868910552434e+001dB,-8.08946585683316e-002°)
2.29086765276779e+003	(-2.32869497171343e+001dB,-8.13804488408074e-002°)
2.30851836224278e+003	(-2.32870090818174e+001dB,-8.18672632578991e-002°)
2.32630506715364e+003	(-2.32870691548803e+001dB,-8.23550626875390e-002°)
2.34422881531994e+003	(-2.32871299418745e+001dB,-8.28438071140626e-002°)
2.36229066263448e+003	(-2.32871914483154e+001dB,-8.33334556320339e-002°)
2.38049167312553e+003	(-2.32872536796769e+001dB,-8.38239664402497e-002°)
