LECROYWR640Zi,55774,Waveform
Segments,1,SegmentSize,42
Segment,TrigTime,TimeSinceSegment1
#1,18-Nov-2019 09:31:22,0                 
Time,Ampl
-1.05e-09,-0.200751
-1e-09,-0.20071
-9.5e-10,-0.200737
-9e-10,-0.200805
-8.5e-10,-0.200805
-8e-10,-0.200724
-7.5e-10,-0.200696
-7e-10,-0.200751
-6.5e-10,-0.200792
-6e-10,-0.200765
-5.5e-10,-0.200656
-5e-10,-0.200601
-4.5e-10,-0.20071
-4e-10,-0.200519
-3.5e-10,-0.200274
-3e-10,-0.200737
-2.5e-10,-0.200042
-2e-10,-0.197821
-1.5e-10,-0.19992
-1e-10,-0.202195
-5e-11,-0.176386
8.4011e-25,-0.104872
5e-11,-0.0235745
1e-10,0.0136132
1.5e-10,0.00543712
2e-10,-0.00780819
2.5e-10,-0.00795809
3e-10,-0.00494655
3.5e-10,-0.00389728
4e-10,-0.00318869
4.5e-10,-0.0038564
5e-10,-0.00482391
5.5e-10,-0.00376101
6e-10,-0.00166248
6.5e-10,0.000122642
7e-10,0.0014717
7.5e-10,0.00152621
8e-10,0.000190776
8.5e-10,-0.00118554
9e-10,-0.00158072
9.5e-10,-0.000981134
1e-09,-0.000531448
