Type:          average
Points:        820
Count:         16
XInc:          1.221001E-012
XOrg:          5.9207100000E-008
YData range:   1.60000E+002
YData center:  5.00000E+001
Coupling:      50 Ohms
XRange:        1.00000E-009
XOffset:       5.9435045E-008
YRange:        1.60000E+002
YOffset:       5.00000E+001
Date:          18 NOV 2019
Time:          14:09:28:41
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Ohm
XY Data:
-2.27945E-010, 5.04539E+001
-2.26724E-010, 5.05900E+001
-2.25503E-010, 5.05724E+001
-2.24282E-010, 5.06178E+001
-2.23061E-010, 5.04085E+001
-2.21840E-010, 5.04866E+001
-2.20619E-010, 5.04286E+001
-2.19398E-010, 5.04286E+001
-2.18177E-010, 5.06228E+001
-2.16956E-010, 5.02597E+001
-2.15735E-010, 5.04135E+001
-2.14514E-010, 5.04211E+001
-2.13293E-010, 5.04337E+001
-2.12072E-010, 5.02975E+001
-2.10851E-010, 5.04866E+001
-2.09630E-010, 5.03757E+001
-2.08409E-010, 5.03101E+001
-2.07188E-010, 5.03227E+001
-2.05967E-010, 5.03051E+001
-2.04746E-010, 5.03631E+001
-2.03525E-010, 5.03303E+001
-2.02304E-010, 5.02194E+001
-2.01083E-010, 5.02647E+001
-1.99862E-010, 5.03631E+001
-1.98641E-010, 5.03051E+001
-1.97420E-010, 5.03959E+001
-1.96199E-010, 5.03681E+001
-1.94978E-010, 5.01689E+001
-1.93757E-010, 5.02597E+001
-1.92536E-010, 5.03101E+001
-1.91315E-010, 5.03051E+001
-1.90094E-010, 5.02647E+001
-1.88873E-010, 5.01992E+001
-1.87652E-010, 5.02194E+001
-1.86431E-010, 5.02269E+001
-1.85210E-010, 5.01160E+001
-1.83989E-010, 5.02269E+001
-1.82768E-010, 5.01538E+001
-1.81547E-010, 4.99748E+001
-1.80326E-010, 5.00050E+001
-1.79105E-010, 4.99597E+001
-1.77884E-010, 4.99672E+001
-1.76663E-010, 4.98966E+001
-1.75442E-010, 4.98260E+001
-1.74221E-010, 4.96848E+001
-1.73000E-010, 4.99017E+001
-1.71779E-010, 4.96899E+001
-1.70558E-010, 4.98311E+001
-1.69337E-010, 4.98008E+001
-1.68116E-010, 5.00126E+001
-1.66895E-010, 4.97428E+001
-1.65674E-010, 4.98311E+001
-1.64453E-010, 4.99092E+001
-1.63232E-010, 5.00252E+001
-1.62011E-010, 5.01160E+001
-1.60790E-010, 5.01488E+001
-1.59569E-010, 5.02723E+001
-1.58348E-010, 5.02723E+001
-1.57127E-010, 5.04337E+001
-1.55906E-010, 5.05245E+001
-1.54685E-010, 5.06884E+001
-1.53464E-010, 5.08800E+001
-1.52243E-010, 5.08649E+001
-1.51022E-010, 5.09834E+001
-1.49801E-010, 5.10161E+001
-1.48580E-010, 5.11952E+001
-1.47359E-010, 5.10237E+001
-1.46138E-010, 5.10439E+001
-1.44917E-010, 5.11498E+001
-1.43696E-010, 5.11170E+001
-1.42475E-010, 5.13414E+001
-1.41254E-010, 5.12607E+001
-1.40033E-010, 5.11750E+001
-1.38812E-010, 5.13212E+001
-1.37591E-010, 5.12279E+001
-1.36370E-010, 5.12557E+001
-1.35149E-010, 5.10565E+001
-1.33928E-010, 5.12557E+001
-1.32707E-010, 5.12935E+001
-1.31486E-010, 5.11952E+001
-1.30265E-010, 5.11019E+001
-1.29044E-010, 5.10161E+001
-1.27823E-010, 5.13011E+001
-1.26602E-010, 5.10161E+001
-1.25381E-010, 5.11094E+001
-1.24160E-010, 5.09834E+001
-1.22939E-010, 5.11296E+001
-1.21718E-010, 5.12355E+001
-1.20497E-010, 5.11548E+001
-1.19276E-010, 5.10565E+001
-1.18055E-010, 5.10363E+001
-1.16834E-010, 5.11624E+001
-1.15613E-010, 5.13137E+001
-1.14392E-010, 5.10691E+001
-1.13171E-010, 5.11750E+001
-1.11950E-010, 5.10363E+001
-1.10729E-010, 5.10489E+001
-1.09508E-010, 5.11750E+001
-1.08287E-010, 5.10968E+001
-1.07066E-010, 5.11876E+001
-1.05845E-010, 5.12153E+001
-1.04624E-010, 5.12229E+001
-1.03403E-010, 5.10565E+001
-1.02182E-010, 5.12027E+001
-1.00961E-010, 5.10691E+001
-9.9740E-011, 5.11750E+001
-9.8519E-011, 5.13011E+001
-9.7298E-011, 5.11699E+001
-9.6077E-011, 5.12027E+001
-9.4856E-011, 5.12078E+001
-9.3635E-011, 5.13666E+001
-9.2414E-011, 5.12153E+001
-9.1193E-011, 5.12153E+001
-8.9972E-011, 5.11876E+001
-8.8751E-011, 5.13086E+001
-8.7530E-011, 5.11498E+001
-8.6309E-011, 5.12481E+001
-8.5088E-011, 5.12153E+001
-8.3867E-011, 5.11750E+001
-8.2646E-011, 5.12607E+001
-8.1425E-011, 5.13540E+001
-8.0204E-011, 5.11952E+001
-7.8983E-011, 5.13414E+001
-7.7762E-011, 5.12229E+001
-7.6541E-011, 5.12027E+001
-7.5320E-011, 5.13540E+001
-7.4099E-011, 5.12935E+001
-7.2878E-011, 5.14675E+001
-7.1657E-011, 5.13011E+001
-7.0436E-011, 5.12935E+001
-6.9215E-011, 5.12809E+001
-6.7994E-011, 5.12557E+001
-6.6773E-011, 5.13817E+001
-6.5552E-011, 5.13011E+001
-6.4331E-011, 5.14397E+001
-6.3110E-011, 5.14070E+001
-6.1889E-011, 5.15608E+001
