Type:          average
Points:        1350
Count:         512
XInc:          7.40741E-013
XOrg:          6.0961000000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        1.00000E-009
XOffset:       6.0961000000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:00:27:49
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.0961000E-008, -1.987048E-001
6.0961741E-008, -1.986957E-001
6.0962481E-008, -1.986957E-001
6.0963222E-008, -1.986957E-001
6.0963963E-008, -1.986776E-001
6.0964704E-008, -1.986505E-001
6.0965444E-008, -1.986686E-001
6.0966185E-008, -1.986776E-001
6.0966926E-008, -1.986867E-001
6.0967667E-008, -1.986595E-001
6.0968407E-008, -1.986505E-001
6.0969148E-008, -1.986505E-001
6.0969889E-008, -1.986324E-001
6.0970630E-008, -1.986414E-001
6.0971370E-008, -1.986324E-001
6.0972111E-008, -1.986233E-001
6.0972852E-008, -1.986505E-001
6.0973593E-008, -1.986233E-001
6.0974333E-008, -1.986052E-001
6.0975074E-008, -1.986143E-001
6.0975815E-008, -1.986052E-001
6.0976556E-008, -1.986143E-001
6.0977296E-008, -1.985962E-001
6.0978037E-008, -1.985871E-001
6.0978778E-008, -1.985871E-001
6.0979519E-008, -1.985690E-001
6.0980259E-008, -1.985871E-001
6.0981000E-008, -1.985599E-001
6.0981741E-008, -1.985599E-001
6.0982481E-008, -1.985599E-001
6.0983222E-008, -1.985690E-001
6.0983963E-008, -1.985418E-001
6.0984704E-008, -1.985418E-001
6.0985444E-008, -1.985418E-001
6.0986185E-008, -1.985418E-001
6.0986926E-008, -1.985147E-001
6.0987667E-008, -1.985237E-001
6.0988407E-008, -1.984966E-001
6.0989148E-008, -1.985237E-001
6.0989889E-008, -1.985237E-001
6.0990630E-008, -1.985147E-001
6.0991370E-008, -1.985056E-001
6.0992111E-008, -1.984875E-001
6.0992852E-008, -1.984966E-001
6.0993593E-008, -1.984966E-001
6.0994333E-008, -1.984513E-001
6.0995074E-008, -1.984875E-001
6.0995815E-008, -1.984513E-001
6.0996556E-008, -1.984513E-001
6.0997296E-008, -1.984513E-001
6.0998037E-008, -1.984513E-001
6.0998778E-008, -1.984242E-001
6.0999519E-008, -1.984332E-001
6.1000259E-008, -1.984151E-001
6.1001000E-008, -1.984242E-001
6.1001741E-008, -1.984151E-001
6.1002481E-008, -1.983970E-001
6.1003222E-008, -1.983970E-001
6.1003963E-008, -1.983880E-001
6.1004704E-008, -1.983970E-001
6.1005444E-008, -1.983789E-001
6.1006185E-008, -1.983970E-001
6.1006926E-008, -1.983608E-001
6.1007667E-008, -1.983699E-001
6.1008407E-008, -1.983608E-001
6.1009148E-008, -1.983427E-001
6.1009889E-008, -1.983427E-001
6.1010630E-008, -1.983336E-001
6.1011370E-008, -1.983517E-001
6.1012111E-008, -1.983517E-001
6.1012852E-008, -1.983336E-001
6.1013593E-008, -1.983517E-001
6.1014333E-008, -1.983155E-001
6.1015074E-008, -1.983155E-001
6.1015815E-008, -1.983155E-001
6.1016556E-008, -1.983246E-001
6.1017296E-008, -1.983155E-001
6.1018037E-008, -1.983065E-001
6.1018778E-008, -1.983065E-001
6.1019519E-008, -1.982884E-001
6.1020259E-008, -1.982884E-001
6.1021000E-008, -1.982884E-001
6.1021741E-008, -1.982884E-001
