Type:          average
Points:        1350
Count:         512
XInc:          3.70370E-013
XOrg:          6.1183500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1183500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:10:18:05
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1183500E-008, -9.561E-004
6.1183870E-008, -9.470E-004
6.1184241E-008, -9.380E-004
6.1184611E-008, -9.651E-004
6.1184981E-008, -9.470E-004
6.1185352E-008, -9.561E-004
6.1185722E-008, -9.380E-004
6.1186093E-008, -9.561E-004
6.1186463E-008, -9.470E-004
6.1186833E-008, -9.651E-004
6.1187204E-008, -9.651E-004
6.1187574E-008, -9.561E-004
6.1187944E-008, -9.742E-004
6.1188315E-008, -9.742E-004
6.1188685E-008, -9.651E-004
6.1189056E-008, -9.651E-004
6.1189426E-008, -9.561E-004
6.1189796E-008, -9.651E-004
6.1190167E-008, -9.832E-004
6.1190537E-008, -9.923E-004
6.1190907E-008, -9.742E-004
6.1191278E-008, -9.923E-004
6.1191648E-008, -9.651E-004
6.1192019E-008, -9.923E-004
6.1192389E-008, -9.742E-004
6.1192759E-008, -9.742E-004
6.1193130E-008, -9.742E-004
6.1193500E-008, -9.832E-004
6.1193870E-008, -9.742E-004
6.1194241E-008, -9.832E-004
6.1194611E-008, -9.923E-004
6.1194981E-008, -1.0013E-003
6.1195352E-008, -9.923E-004
6.1195722E-008, -9.923E-004
6.1196093E-008, -1.0013E-003
6.1196463E-008, -9.742E-004
6.1196833E-008, -1.0104E-003
6.1197204E-008, -1.0104E-003
6.1197574E-008, -1.0013E-003
6.1197944E-008, -9.923E-004
6.1198315E-008, -1.0013E-003
6.1198685E-008, -1.0013E-003
6.1199056E-008, -1.0104E-003
6.1199426E-008, -1.0104E-003
6.1199796E-008, -1.0013E-003
6.1200167E-008, -1.0104E-003
6.1200537E-008, -1.0104E-003
6.1200907E-008, -1.0104E-003
6.1201278E-008, -1.0285E-003
6.1201648E-008, -1.0104E-003
6.1202019E-008, -1.0013E-003
6.1202389E-008, -1.0285E-003
6.1202759E-008, -1.0194E-003
6.1203130E-008, -1.0104E-003
6.1203500E-008, -1.0194E-003
6.1203870E-008, -1.0375E-003
6.1204241E-008, -1.0285E-003
6.1204611E-008, -1.0285E-003
6.1204981E-008, -1.0194E-003
6.1205352E-008, -1.0285E-003
6.1205722E-008, -1.0375E-003
6.1206093E-008, -1.0285E-003
6.1206463E-008, -1.0375E-003
6.1206833E-008, -1.0285E-003
6.1207204E-008, -1.0375E-003
6.1207574E-008, -1.0466E-003
6.1207944E-008, -1.0375E-003
6.1208315E-008, -1.0375E-003
6.1208685E-008, -1.0556E-003
6.1209056E-008, -1.0556E-003
6.1209426E-008, -1.0285E-003
6.1209796E-008, -1.0375E-003
6.1210167E-008, -1.0466E-003
6.1210537E-008, -1.0466E-003
6.1210907E-008, -1.0466E-003
6.1211278E-008, -1.0556E-003
6.1211648E-008, -1.0556E-003
6.1212019E-008, -1.0647E-003
6.1212389E-008, -1.0556E-003
6.1212759E-008, -1.0466E-003
6.1213130E-008, -1.0375E-003
6.1213500E-008, -1.0647E-003
6.1213870E-008, -1.0737E-003
6.1214241E-008, -1.0375E-003
6.1214611E-008, -1.0556E-003
