Type:          raw
Points:        1350
Count:         1
XInc:          7.40741E-013
XOrg:          6.0961000000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        1.00000E-009
XOffset:       6.0961000000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          09:57:05:81
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.0961000E-008, -1.98406E-001
6.0961741E-008, -1.98569E-001
6.0962481E-008, -1.98406E-001
6.0963222E-008, -1.98406E-001
6.0963963E-008, -1.98714E-001
6.0964704E-008, -1.98569E-001
6.0965444E-008, -1.98243E-001
6.0966185E-008, -1.98406E-001
6.0966926E-008, -1.98243E-001
6.0967667E-008, -1.98877E-001
6.0968407E-008, -1.98406E-001
6.0969148E-008, -1.98098E-001
6.0969889E-008, -1.97935E-001
6.0970630E-008, -1.98569E-001
6.0971370E-008, -1.98569E-001
6.0972111E-008, -1.98098E-001
6.0972852E-008, -1.99022E-001
6.0973593E-008, -1.98406E-001
6.0974333E-008, -1.99022E-001
6.0975074E-008, -1.98243E-001
6.0975815E-008, -1.98406E-001
6.0976556E-008, -1.98098E-001
6.0977296E-008, -1.98569E-001
6.0978037E-008, -1.98406E-001
6.0978778E-008, -1.98569E-001
6.0979519E-008, -1.98569E-001
6.0980259E-008, -1.98406E-001
6.0981000E-008, -1.98569E-001
6.0981741E-008, -1.98406E-001
6.0982481E-008, -1.98406E-001
6.0983222E-008, -1.98569E-001
6.0983963E-008, -1.98406E-001
6.0984704E-008, -1.98098E-001
6.0985444E-008, -1.98243E-001
6.0986185E-008, -1.98406E-001
6.0986926E-008, -1.98243E-001
6.0987667E-008, -1.98569E-001
6.0988407E-008, -1.98243E-001
6.0989148E-008, -1.98406E-001
6.0989889E-008, -1.97935E-001
6.0990630E-008, -1.97935E-001
6.0991370E-008, -1.97935E-001
6.0992111E-008, -1.98569E-001
6.0992852E-008, -1.99022E-001
6.0993593E-008, -1.98877E-001
6.0994333E-008, -1.98406E-001
6.0995074E-008, -1.98569E-001
6.0995815E-008, -1.98406E-001
6.0996556E-008, -1.98406E-001
6.0997296E-008, -1.98877E-001
6.0998037E-008, -1.98714E-001
6.0998778E-008, -1.98569E-001
6.0999519E-008, -1.98406E-001
6.1000259E-008, -1.98098E-001
6.1001000E-008, -1.98406E-001
6.1001741E-008, -1.98098E-001
6.1002481E-008, -1.98406E-001
6.1003222E-008, -1.98406E-001
6.1003963E-008, -1.98569E-001
6.1004704E-008, -1.98098E-001
6.1005444E-008, -1.98569E-001
6.1006185E-008, -1.98569E-001
6.1006926E-008, -1.98569E-001
6.1007667E-008, -1.98714E-001
6.1008407E-008, -1.98714E-001
6.1009148E-008, -1.98406E-001
6.1009889E-008, -1.98098E-001
6.1010630E-008, -1.97320E-001
6.1011370E-008, -1.98406E-001
6.1012111E-008, -1.98569E-001
6.1012852E-008, -1.98406E-001
6.1013593E-008, -1.98243E-001
6.1014333E-008, -1.98243E-001
6.1015074E-008, -1.98877E-001
6.1015815E-008, -1.98406E-001
6.1016556E-008, -1.98243E-001
6.1017296E-008, -1.98098E-001
6.1018037E-008, -1.98406E-001
6.1018778E-008, -1.98243E-001
6.1019519E-008, -1.97791E-001
6.1020259E-008, -1.98243E-001
6.1021000E-008, -1.97628E-001
6.1021741E-008, -1.98098E-001
6.1022481E-008, -1.98098E-001
6.1023222E-008, -1.98569E-001
6.1023963E-008, -1.98243E-001
6.1024704E-008, -1.98406E-001
6.1025444E-008, -1.98098E-001
6.1026185E-008, -1.98243E-001
6.1026926E-008, -1.97465E-001
6.1027667E-008, -1.97628E-001
6.1028407E-008, -1.98098E-001
6.1029148E-008, -1.98098E-001
6.1029889E-008, -1.97935E-001
6.1030630E-008, -1.98569E-001
6.1031370E-008, -1.97628E-001
6.1032111E-008, -1.98098E-001
6.1032852E-008, -1.97791E-001
6.1033593E-008, -1.98406E-001
6.1034333E-008, -1.97791E-001
6.1035074E-008, -1.98406E-001
6.1035815E-008, -1.97935E-001
6.1036556E-008, -1.98243E-001
6.1037296E-008, -1.98243E-001
6.1038037E-008, -1.97791E-001
6.1038778E-008, -1.97935E-001
6.1039519E-008, -1.98098E-001
6.1040259E-008, -1.97465E-001
6.1041000E-008, -1.97935E-001
6.1041741E-008, -1.98406E-001
6.1042481E-008, -1.97791E-001
6.1043222E-008, -1.97465E-001
6.1043963E-008, -1.97935E-001
6.1044704E-008, -1.98243E-001
6.1045444E-008, -1.98098E-001
6.1046185E-008, -1.97935E-001
6.1046926E-008, -1.97935E-001
6.1047667E-008, -1.97935E-001
6.1048407E-008, -1.98098E-001
6.1049148E-008, -1.98098E-001
6.1049889E-008, -1.98714E-001
6.1050630E-008, -1.97628E-001
6.1051370E-008, -1.98569E-001
6.1052111E-008, -1.98098E-001
6.1052852E-008, -1.98098E-001
6.1053593E-008, -1.97935E-001
6.1054333E-008, -1.98569E-001
6.1055074E-008, -1.98243E-001
6.1055815E-008, -1.98569E-001
6.1056556E-008, -1.98098E-001
6.1057296E-008, -1.98569E-001
6.1058037E-008, -1.98406E-001
6.1058778E-008, -1.98569E-001
6.1059519E-008, -1.98098E-001
6.1060259E-008, -1.97935E-001
6.1061000E-008, -1.98406E-001
6.1061741E-008, -1.98243E-001
6.1062481E-008, -1.98569E-001
6.1063222E-008, -1.97935E-001
6.1063963E-008, -1.98714E-001
6.1064704E-008, -1.99022E-001
6.1065444E-008, -1.98714E-001
6.1066185E-008, -1.98406E-001
6.1066926E-008, -1.98569E-001
6.1067667E-008, -1.97791E-001
6.1068407E-008, -1.98243E-001
6.1069148E-008, -1.97935E-001
6.1069889E-008, -1.98714E-001
6.1070630E-008, -1.99185E-001
6.1071370E-008, -1.98098E-001
6.1072111E-008, -1.98406E-001
6.1072852E-008, -1.98243E-001
6.1073593E-008, -1.98243E-001
6.1074333E-008, -1.99022E-001
6.1075074E-008, -1.98243E-001
6.1075815E-008, -1.98714E-001
6.1076556E-008, -1.98569E-001
6.1077296E-008, -1.98569E-001
6.1078037E-008, -1.97935E-001
6.1078778E-008, -1.98569E-001
6.1079519E-008, -1.98406E-001
6.1080259E-008, -1.98714E-001
6.1081000E-008, -1.98714E-001
6.1081741E-008, -1.97628E-001
6.1082481E-008, -1.98714E-001
6.1083222E-008, -1.98243E-001
6.1083963E-008, -1.99185E-001
6.1084704E-008, -1.98714E-001
6.1085444E-008, -1.98877E-001
6.1086185E-008, -1.98406E-001
6.1086926E-008, -1.98569E-001
6.1087667E-008, -1.97935E-001
6.1088407E-008, -1.98877E-001
6.1089148E-008, -1.99022E-001
6.1089889E-008, -1.97791E-001
6.1090630E-008, -1.98714E-001
6.1091370E-008, -1.98714E-001
6.1092111E-008, -1.98406E-001
