Type:          average
Points:        1350
Count:         512
XInc:          3.70370E-013
XOrg:          6.1078500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1078500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:17:00:97
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1078500E-008, -1.986143E-001
6.1078870E-008, -1.986052E-001
6.1079241E-008, -1.986143E-001
6.1079611E-008, -1.986143E-001
6.1079981E-008, -1.986052E-001
6.1080352E-008, -1.986143E-001
6.1080722E-008, -1.986143E-001
6.1081093E-008, -1.986414E-001
6.1081463E-008, -1.986324E-001
6.1081833E-008, -1.986324E-001
6.1082204E-008, -1.986324E-001
6.1082574E-008, -1.986505E-001
6.1082944E-008, -1.986595E-001
6.1083315E-008, -1.986686E-001
6.1083685E-008, -1.986595E-001
6.1084056E-008, -1.986505E-001
6.1084426E-008, -1.986686E-001
6.1084796E-008, -1.986957E-001
6.1085167E-008, -1.987048E-001
6.1085537E-008, -1.986957E-001
6.1085907E-008, -1.986957E-001
6.1086278E-008, -1.987048E-001
6.1086648E-008, -1.987229E-001
6.1087019E-008, -1.987229E-001
6.1087389E-008, -1.987410E-001
6.1087759E-008, -1.987319E-001
6.1088130E-008, -1.987410E-001
6.1088500E-008, -1.987410E-001
6.1088870E-008, -1.987410E-001
6.1089241E-008, -1.987591E-001
6.1089611E-008, -1.987591E-001
6.1089981E-008, -1.987772E-001
6.1090352E-008, -1.987862E-001
6.1090722E-008, -1.987862E-001
6.1091093E-008, -1.988043E-001
6.1091463E-008, -1.988043E-001
6.1091833E-008, -1.987953E-001
6.1092204E-008, -1.988043E-001
6.1092574E-008, -1.988315E-001
6.1092944E-008, -1.988224E-001
6.1093315E-008, -1.988496E-001
6.1093685E-008, -1.988587E-001
6.1094056E-008, -1.988315E-001
6.1094426E-008, -1.988587E-001
6.1094796E-008, -1.988587E-001
6.1095167E-008, -1.988677E-001
6.1095537E-008, -1.988677E-001
6.1095907E-008, -1.988768E-001
6.1096278E-008, -1.988949E-001
6.1096648E-008, -1.988949E-001
6.1097019E-008, -1.988949E-001
6.1097389E-008, -1.988768E-001
6.1097759E-008, -1.989039E-001
6.1098130E-008, -1.989311E-001
6.1098500E-008, -1.989311E-001
6.1098870E-008, -1.989401E-001
6.1099241E-008, -1.989401E-001
6.1099611E-008, -1.989401E-001
6.1099981E-008, -1.989582E-001
6.1100352E-008, -1.989763E-001
6.1100722E-008, -1.989854E-001
6.1101093E-008, -1.990035E-001
6.1101463E-008, -1.989763E-001
6.1101833E-008, -1.989854E-001
6.1102204E-008, -1.989944E-001
6.1102574E-008, -1.990035E-001
6.1102944E-008, -1.990216E-001
6.1103315E-008, -1.990216E-001
6.1103685E-008, -1.990216E-001
6.1104056E-008, -1.990306E-001
6.1104426E-008, -1.990487E-001
6.1104796E-008, -1.990487E-001
6.1105167E-008, -1.990578E-001
6.1105537E-008, -1.990669E-001
6.1105907E-008, -1.990850E-001
6.1106278E-008, -1.990669E-001
6.1106648E-008, -1.990850E-001
6.1107019E-008, -1.990940E-001
6.1107389E-008, -1.990940E-001
6.1107759E-008, -1.991121E-001
6.1108130E-008, -1.991031E-001
6.1108500E-008, -1.991121E-001
6.1108870E-008, -1.991483E-001
