Type:          average
Points:        1350
Count:         512
XInc:          3.70370E-013
XOrg:          6.1180200000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1180200000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:20:07:49
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1180200E-008, -1.8341E-003
6.1180570E-008, -1.8522E-003
6.1180941E-008, -1.8522E-003
6.1181311E-008, -1.8341E-003
6.1181681E-008, -1.8613E-003
6.1182052E-008, -1.8522E-003
6.1182422E-008, -1.8794E-003
6.1182793E-008, -1.8522E-003
6.1183163E-008, -1.8341E-003
6.1183533E-008, -1.8522E-003
6.1183904E-008, -1.8613E-003
6.1184274E-008, -1.8613E-003
6.1184644E-008, -1.8522E-003
6.1185015E-008, -1.8613E-003
6.1185385E-008, -1.8431E-003
6.1185756E-008, -1.8522E-003
6.1186126E-008, -1.8522E-003
6.1186496E-008, -1.8522E-003
6.1186867E-008, -1.8341E-003
6.1187237E-008, -1.8522E-003
6.1187607E-008, -1.8613E-003
6.1187978E-008, -1.8522E-003
6.1188348E-008, -1.8794E-003
6.1188719E-008, -1.8884E-003
6.1189089E-008, -1.8522E-003
6.1189459E-008, -1.8703E-003
6.1189830E-008, -1.8884E-003
6.1190200E-008, -1.8703E-003
6.1190570E-008, -1.8794E-003
6.1190941E-008, -1.8794E-003
6.1191311E-008, -1.8794E-003
6.1191681E-008, -1.8794E-003
6.1192052E-008, -1.8884E-003
6.1192422E-008, -1.8884E-003
6.1192793E-008, -1.8794E-003
6.1193163E-008, -1.8703E-003
6.1193533E-008, -1.8975E-003
6.1193904E-008, -1.8884E-003
6.1194274E-008, -1.8884E-003
6.1194644E-008, -1.8975E-003
6.1195015E-008, -1.8975E-003
6.1195385E-008, -1.8975E-003
6.1195756E-008, -1.8884E-003
6.1196126E-008, -1.8884E-003
6.1196496E-008, -1.9156E-003
6.1196867E-008, -1.9065E-003
6.1197237E-008, -1.8794E-003
6.1197607E-008, -1.8975E-003
6.1197978E-008, -1.9065E-003
6.1198348E-008, -1.8975E-003
6.1198719E-008, -1.9156E-003
6.1199089E-008, -1.8975E-003
6.1199459E-008, -1.9065E-003
6.1199830E-008, -1.9156E-003
6.1200200E-008, -1.8975E-003
6.1200570E-008, -1.8975E-003
6.1200941E-008, -1.9065E-003
6.1201311E-008, -1.9065E-003
6.1201681E-008, -1.9065E-003
6.1202052E-008, -1.9065E-003
6.1202422E-008, -1.9065E-003
6.1202793E-008, -1.9156E-003
6.1203163E-008, -1.9246E-003
6.1203533E-008, -1.9156E-003
6.1203904E-008, -1.9065E-003
6.1204274E-008, -1.8975E-003
6.1204644E-008, -1.9156E-003
6.1205015E-008, -1.9337E-003
6.1205385E-008, -1.9337E-003
6.1205756E-008, -1.9246E-003
6.1206126E-008, -1.9065E-003
6.1206496E-008, -1.9065E-003
6.1206867E-008, -1.9065E-003
6.1207237E-008, -1.9156E-003
6.1207607E-008, -1.9156E-003
6.1207978E-008, -1.9065E-003
6.1208348E-008, -1.9065E-003
6.1208719E-008, -1.9065E-003
6.1209089E-008, -1.9156E-003
6.1209459E-008, -1.9246E-003
6.1209830E-008, -1.9156E-003
6.1210200E-008, -1.9156E-003
6.1210570E-008, -1.9246E-003
