Type:          raw
Points:        1350
Count:         1
XInc:          3.70370E-013
XOrg:          6.1122000000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1122000000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:04:00:43
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1122000E-008, -1.98569E-001
6.1122370E-008, -1.99185E-001
6.1122741E-008, -1.98569E-001
6.1123111E-008, -1.99492E-001
6.1123481E-008, -1.98569E-001
6.1123852E-008, -1.98406E-001
6.1124222E-008, -1.98569E-001
6.1124593E-008, -1.99185E-001
6.1124963E-008, -1.99492E-001
6.1125333E-008, -1.98714E-001
6.1125704E-008, -1.98714E-001
6.1126074E-008, -1.99185E-001
6.1126444E-008, -1.99022E-001
6.1126815E-008, -1.98569E-001
6.1127185E-008, -1.99492E-001
6.1127556E-008, -1.99022E-001
6.1127926E-008, -1.99347E-001
6.1128296E-008, -1.98877E-001
6.1128667E-008, -1.99492E-001
6.1129037E-008, -1.99347E-001
6.1129407E-008, -1.99347E-001
6.1129778E-008, -1.99022E-001
6.1130148E-008, -1.99347E-001
6.1130519E-008, -1.99347E-001
6.1130889E-008, -1.99347E-001
6.1131259E-008, -1.98714E-001
6.1131630E-008, -1.99185E-001
6.1132000E-008, -1.99022E-001
6.1132370E-008, -1.98714E-001
6.1132741E-008, -1.99185E-001
6.1133111E-008, -1.99022E-001
6.1133481E-008, -1.99022E-001
6.1133852E-008, -1.99492E-001
6.1134222E-008, -1.98877E-001
6.1134593E-008, -1.99492E-001
6.1134963E-008, -1.98877E-001
6.1135333E-008, -1.98877E-001
6.1135704E-008, -1.99022E-001
6.1136074E-008, -1.99185E-001
6.1136444E-008, -1.99185E-001
6.1136815E-008, -1.99492E-001
6.1137185E-008, -1.98714E-001
6.1137556E-008, -1.99022E-001
6.1137926E-008, -1.98714E-001
6.1138296E-008, -1.98714E-001
6.1138667E-008, -1.99800E-001
6.1139037E-008, -1.99347E-001
6.1139407E-008, -1.99655E-001
6.1139778E-008, -1.99185E-001
6.1140148E-008, -1.99185E-001
6.1140519E-008, -1.99022E-001
6.1140889E-008, -1.99800E-001
6.1141259E-008, -1.99185E-001
6.1141630E-008, -1.99185E-001
6.1142000E-008, -1.99492E-001
6.1142370E-008, -1.99185E-001
6.1142741E-008, -1.99185E-001
6.1143111E-008, -1.99492E-001
6.1143481E-008, -1.99655E-001
6.1143852E-008, -1.99492E-001
6.1144222E-008, -1.99492E-001
6.1144593E-008, -1.99185E-001
6.1144963E-008, -1.99022E-001
6.1145333E-008, -1.99185E-001
6.1145704E-008, -1.99492E-001
6.1146074E-008, -1.99800E-001
6.1146444E-008, -1.99963E-001
6.1146815E-008, -1.99347E-001
6.1147185E-008, -1.99800E-001
6.1147556E-008, -1.99800E-001
6.1147926E-008, -1.99492E-001
6.1148296E-008, -1.99655E-001
6.1148667E-008, -1.99185E-001
6.1149037E-008, -1.98877E-001
6.1149407E-008, -1.99347E-001
6.1149778E-008, -1.99963E-001
6.1150148E-008, -1.99492E-001
6.1150519E-008, -1.98877E-001
6.1150889E-008, -1.99492E-001
6.1151259E-008, -1.99347E-001
6.1151630E-008, -1.99022E-001
6.1152000E-008, -1.99492E-001
6.1152370E-008, -1.99800E-001
6.1152741E-008, -1.99492E-001
6.1153111E-008, -1.99347E-001
6.1153481E-008, -1.99185E-001
6.1153852E-008, -1.99492E-001
6.1154222E-008, -1.99655E-001
6.1154593E-008, -2.00126E-001
6.1154963E-008, -1.99492E-001
6.1155333E-008, -1.99347E-001
6.1155704E-008, -1.99963E-001
6.1156074E-008, -1.98877E-001
6.1156444E-008, -1.99800E-001
6.1156815E-008, -1.99185E-001
6.1157185E-008, -1.99963E-001
6.1157556E-008, -1.99655E-001
6.1157926E-008, -1.99347E-001
6.1158296E-008, -1.99963E-001
6.1158667E-008, -1.99347E-001
6.1159037E-008, -1.99655E-001
6.1159407E-008, -1.99185E-001
6.1159778E-008, -1.99185E-001
6.1160148E-008, -1.99800E-001
6.1160519E-008, -1.99800E-001
6.1160889E-008, -1.99655E-001
6.1161259E-008, -1.98877E-001
6.1161630E-008, -1.99800E-001
6.1162000E-008, -1.99492E-001
6.1162370E-008, -1.99492E-001
6.1162741E-008, -1.98877E-001
6.1163111E-008, -1.99800E-001
6.1163481E-008, -1.99022E-001
6.1163852E-008, -1.99800E-001
6.1164222E-008, -2.00126E-001
6.1164593E-008, -2.00126E-001
6.1164963E-008, -1.99347E-001
6.1165333E-008, -1.99185E-001
6.1165704E-008, -1.99655E-001
6.1166074E-008, -2.00271E-001
6.1166444E-008, -1.99347E-001
6.1166815E-008, -1.99963E-001
6.1167185E-008, -1.99347E-001
6.1167556E-008, -1.99492E-001
6.1167926E-008, -1.99347E-001
6.1168296E-008, -1.99347E-001
6.1168667E-008, -2.00271E-001
6.1169037E-008, -1.99185E-001
6.1169407E-008, -1.99022E-001
6.1169778E-008, -1.99963E-001
6.1170148E-008, -1.99800E-001
6.1170519E-008, -2.00126E-001
6.1170889E-008, -1.99655E-001
6.1171259E-008, -1.99492E-001
6.1171630E-008, -1.99655E-001
6.1172000E-008, -1.99963E-001
6.1172370E-008, -1.99185E-001
6.1172741E-008, -1.99492E-001
6.1173111E-008, -1.99492E-001
6.1173481E-008, -1.99492E-001
6.1173852E-008, -1.99963E-001
6.1174222E-008, -1.99492E-001
6.1174593E-008, -1.99347E-001
6.1174963E-008, -1.99655E-001
6.1175333E-008, -1.99492E-001
6.1175704E-008, -1.99963E-001
6.1176074E-008, -1.99022E-001
6.1176444E-008, -1.99655E-001
6.1176815E-008, -1.99963E-001
6.1177185E-008, -1.99963E-001
6.1177556E-008, -1.99655E-001
6.1177926E-008, -2.00126E-001
6.1178296E-008, -1.99655E-001
6.1178667E-008, -1.99347E-001
6.1179037E-008, -1.99800E-001
6.1179407E-008, -1.99800E-001
6.1179778E-008, -2.00126E-001
6.1180148E-008, -1.99347E-001
6.1180519E-008, -1.99800E-001
6.1180889E-008, -1.99655E-001
6.1181259E-008, -1.99800E-001
6.1181630E-008, -1.99963E-001
6.1182000E-008, -1.99185E-001
6.1182370E-008, -1.99963E-001
6.1182741E-008, -1.99800E-001
6.1183111E-008, -1.98877E-001
6.1183481E-008, -1.99347E-001
6.1183852E-008, -1.99800E-001
6.1184222E-008, -1.99800E-001
6.1184593E-008, -1.99800E-001
6.1184963E-008, -1.99347E-001
6.1185333E-008, -1.99655E-001
6.1185704E-008, -1.99492E-001
6.1186074E-008, -2.00271E-001
6.1186444E-008, -1.99655E-001
6.1186815E-008, -1.99022E-001
6.1187185E-008, -1.99492E-001
6.1187556E-008, -2.00271E-001
