Type:          raw
Points:        1350
Count:         1
XInc:          3.70370E-013
XOrg:          6.1183500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1183500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:07:33:53
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1248315E-008, -1.110E-003
6.1248685E-008, -9.47E-004
6.1249056E-008, -7.84E-004
6.1249426E-008, -9.47E-004
6.1249796E-008, -9.47E-004
6.1250167E-008, -1.273E-003
6.1250537E-008, -1.273E-003
6.1250907E-008, -1.273E-003
6.1251278E-008, -1.273E-003
6.1251648E-008, -1.110E-003
6.1252019E-008, -1.273E-003
6.1252389E-008, -7.84E-004
6.1252759E-008, -7.84E-004
6.1253130E-008, -1.110E-003
6.1253500E-008, -4.40E-004
6.1253870E-008, -1.273E-003
6.1254241E-008, -1.110E-003
6.1254611E-008, -6.03E-004
6.1254981E-008, -9.47E-004
6.1255352E-008, -1.110E-003
6.1255722E-008, -6.03E-004
6.1256093E-008, -9.47E-004
6.1256463E-008, -9.47E-004
6.1256833E-008, -1.273E-003
6.1257204E-008, -9.47E-004
6.1257574E-008, -9.47E-004
6.1257944E-008, -9.47E-004
6.1258315E-008, -7.84E-004
6.1258685E-008, -6.03E-004
6.1259056E-008, -1.110E-003
6.1259426E-008, -4.40E-004
6.1259796E-008, -1.110E-003
6.1260167E-008, -1.599E-003
6.1260537E-008, -1.110E-003
6.1260907E-008, -1.436E-003
6.1261278E-008, -1.110E-003
6.1261648E-008, -9.47E-004
6.1262019E-008, -7.84E-004
6.1262389E-008, -7.84E-004
6.1262759E-008, -7.84E-004
6.1263130E-008, -9.47E-004
6.1263500E-008, -1.273E-003
6.1263870E-008, -9.47E-004
6.1264241E-008, -7.84E-004
6.1264611E-008, -6.03E-004
6.1264981E-008, -9.47E-004
6.1265352E-008, -1.436E-003
6.1265722E-008, -1.110E-003
6.1266093E-008, -1.110E-003
6.1266463E-008, -1.110E-003
