Type:          average
Points:        1350
Count:         512
XInc:          7.40741E-013
XOrg:          6.0964500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        1.00000E-009
XOffset:       6.0964500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          09:51:14:28
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1087463E-008, -1.5444E-003
6.1088204E-008, -1.5444E-003
6.1088944E-008, -1.5535E-003
6.1089685E-008, -1.5444E-003
6.1090426E-008, -1.5263E-003
6.1091167E-008, -1.5535E-003
6.1091907E-008, -1.5444E-003
6.1092648E-008, -1.5625E-003
6.1093389E-008, -1.5444E-003
6.1094130E-008, -1.5535E-003
6.1094870E-008, -1.5625E-003
6.1095611E-008, -1.5444E-003
6.1096352E-008, -1.5535E-003
6.1097093E-008, -1.5535E-003
6.1097833E-008, -1.5444E-003
6.1098574E-008, -1.5444E-003
6.1099315E-008, -1.5535E-003
6.1100056E-008, -1.5354E-003
6.1100796E-008, -1.5535E-003
6.1101537E-008, -1.5535E-003
6.1102278E-008, -1.5444E-003
6.1103019E-008, -1.5535E-003
6.1103759E-008, -1.5625E-003
6.1104500E-008, -1.5535E-003
6.1105241E-008, -1.5625E-003
6.1105981E-008, -1.5535E-003
6.1106722E-008, -1.5535E-003
6.1107463E-008, -1.5716E-003
6.1108204E-008, -1.5535E-003
6.1108944E-008, -1.5716E-003
6.1109685E-008, -1.5625E-003
6.1110426E-008, -1.5806E-003
6.1111167E-008, -1.5806E-003
6.1111907E-008, -1.5716E-003
6.1112648E-008, -1.5806E-003
6.1113389E-008, -1.5625E-003
6.1114130E-008, -1.5716E-003
6.1114870E-008, -1.5625E-003
6.1115611E-008, -1.5806E-003
6.1116352E-008, -1.5806E-003
6.1117093E-008, -1.5716E-003
6.1117833E-008, -1.5806E-003
6.1118574E-008, -1.5987E-003
6.1119315E-008, -1.5716E-003
6.1120056E-008, -1.5897E-003
6.1120796E-008, -1.5897E-003
6.1121537E-008, -1.5987E-003
6.1122278E-008, -1.5897E-003
6.1123019E-008, -1.5987E-003
6.1123759E-008, -1.5987E-003
6.1124500E-008, -1.5987E-003
6.1125241E-008, -1.5987E-003
6.1125981E-008, -1.6078E-003
6.1126722E-008, -1.5987E-003
6.1127463E-008, -1.6078E-003
6.1128204E-008, -1.6078E-003
6.1128944E-008, -1.6078E-003
6.1129685E-008, -1.6078E-003
6.1130426E-008, -1.6168E-003
6.1131167E-008, -1.5987E-003
6.1131907E-008, -1.6259E-003
6.1132648E-008, -1.6259E-003
6.1133389E-008, -1.5987E-003
6.1134130E-008, -1.6078E-003
6.1134870E-008, -1.5987E-003
6.1135611E-008, -1.6259E-003
6.1136352E-008, -1.6168E-003
6.1137093E-008, -1.6259E-003
6.1137833E-008, -1.6259E-003
6.1138574E-008, -1.6531E-003
6.1139315E-008, -1.6259E-003
6.1140056E-008, -1.6440E-003
6.1140796E-008, -1.6440E-003
6.1141537E-008, -1.6440E-003
6.1142278E-008, -1.6531E-003
6.1143019E-008, -1.6350E-003
6.1143759E-008, -1.6440E-003
6.1144500E-008, -1.6621E-003
6.1145241E-008, -1.6621E-003
6.1145981E-008, -1.6440E-003
6.1146722E-008, -1.6531E-003
6.1147463E-008, -1.6531E-003
6.1148204E-008, -1.6531E-003
6.1148944E-008, -1.6621E-003
6.1149685E-008, -1.6621E-003
6.1150426E-008, -1.6531E-003
6.1151167E-008, -1.6712E-003
6.1151907E-008, -1.6712E-003
6.1152648E-008, -1.6712E-003
6.1153389E-008, -1.6802E-003
6.1154130E-008, -1.6712E-003
6.1154870E-008, -1.6893E-003
6.1155611E-008, -1.6893E-003
6.1156352E-008, -1.6983E-003
6.1157093E-008, -1.6983E-003
6.1157833E-008, -1.6983E-003
6.1158574E-008, -1.7074E-003
6.1159315E-008, -1.6893E-003
6.1160056E-008, -1.7164E-003
6.1160796E-008, -1.6983E-003
6.1161537E-008, -1.7164E-003
6.1162278E-008, -1.6983E-003
6.1163019E-008, -1.6983E-003
6.1163759E-008, -1.7164E-003
6.1164500E-008, -1.7345E-003
6.1165241E-008, -1.7255E-003
6.1165981E-008, -1.7345E-003
6.1166722E-008, -1.7255E-003
6.1167463E-008, -1.7345E-003
6.1168204E-008, -1.7345E-003
6.1168944E-008, -1.7436E-003
6.1169685E-008, -1.7436E-003
6.1170426E-008, -1.7345E-003
6.1171167E-008, -1.7436E-003
6.1171907E-008, -1.7526E-003
6.1172648E-008, -1.7526E-003
6.1173389E-008, -1.7617E-003
6.1174130E-008, -1.7526E-003
6.1174870E-008, -1.7617E-003
6.1175611E-008, -1.7707E-003
