Type:          average
Points:        1024
Count:         16
XInc:          4.882813E-012
XOrg:          5.5048100000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-009
XOffset:       5.6765913E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:23:06:53
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
-1.717813E-009, -9.29781E-002
-1.712930E-009, -1.036503E-001
-1.708047E-009, -9.83731E-002
-1.703164E-009, -1.149381E-001
-1.698282E-009, -1.106656E-001
-1.693399E-009, -1.042568E-001
-1.688516E-009, -1.025007E-001
-1.683633E-009, -9.16022E-002
-1.678750E-009, -1.028628E-001
-1.673868E-009, -9.85903E-002
-1.668985E-009, -1.198081E-001
-1.664102E-009, -1.020753E-001
-1.659219E-009, -1.128381E-001
-1.654336E-009, -9.42182E-002
-1.649453E-009, -8.24688E-002
-1.644571E-009, -9.78933E-002
-1.639688E-009, -9.88619E-002
-1.634805E-009, -1.105027E-001
-1.629922E-009, -9.95679E-002
-1.625039E-009, -1.049176E-001
-1.620157E-009, -8.82530E-002
-1.615274E-009, -8.87961E-002
-1.610391E-009, -9.74498E-002
-1.605508E-009, -1.002196E-001
-1.600625E-009, -1.100682E-001
-1.595743E-009, -1.006632E-001
-1.590860E-009, -1.047366E-001
-1.585977E-009, -8.30210E-002
-1.581094E-009, -8.39352E-002
-1.576211E-009, -9.35393E-002
-1.571328E-009, -1.008442E-001
-1.566446E-009, -1.207947E-001
-1.561563E-009, -1.002649E-001
-1.556680E-009, -1.044198E-001
-1.551797E-009, -9.27427E-002
-1.546914E-009, -1.059586E-001
-1.542032E-009, -9.06517E-002
-1.537149E-009, -1.151916E-001
-1.532266E-009, -1.216184E-001
-1.527383E-009, -1.060672E-001
-1.522500E-009, -1.026818E-001
-1.517618E-009, -9.28423E-002
-1.512735E-009, -9.99300E-002
-1.507852E-009, -9.92964E-002
-1.502969E-009, -1.204236E-001
-1.498086E-009, -1.114260E-001
-1.493203E-009, -1.097694E-001
-1.488321E-009, -1.022111E-001
-1.483438E-009, -8.19981E-002
-1.478555E-009, -1.026003E-001
-1.473672E-009, -9.84907E-002
-1.468789E-009, -1.118876E-001
-1.463907E-009, -9.76579E-002
-1.459024E-009, -1.124398E-001
-1.454141E-009, -8.87146E-002
-1.449258E-009, -8.22063E-002
-1.444375E-009, -1.095160E-001
-1.439493E-009, -1.004007E-001
-1.434610E-009, -1.101677E-001
-1.429727E-009, -1.033607E-001
-1.424844E-009, -1.045736E-001
-1.419961E-009, -8.25412E-002
-1.415078E-009, -9.57027E-002
-1.410196E-009, -9.35484E-002
-1.405313E-009, -1.034693E-001
-1.400430E-009, -1.211296E-001
-1.395547E-009, -1.004188E-001
-1.390664E-009, -1.046279E-001
-1.385782E-009, -8.25141E-002
-1.380899E-009, -1.054879E-001
-1.376016E-009, -8.99095E-002
-1.371133E-009, -1.062573E-001
-1.366250E-009, -1.208128E-001
-1.361368E-009, -1.032792E-001
-1.356485E-009, -1.026818E-001
-1.351602E-009, -9.29871E-002
-1.346719E-009, -1.040486E-001
-1.341836E-009, -9.84636E-002
-1.336953E-009, -1.151644E-001
-1.332071E-009, -1.099052E-001
-1.327188E-009, -1.043202E-001
-1.322305E-009, -1.061396E-001
-1.317422E-009, -9.14031E-002
-1.312539E-009, -1.026908E-001
-1.307657E-009, -9.85088E-002
-1.302774E-009, -1.198443E-001
-1.297891E-009, -9.80291E-002
-1.293008E-009, -1.129376E-001
-1.288125E-009, -9.42906E-002
-1.283243E-009, -8.22153E-002
-1.278360E-009, -1.007085E-001
-1.273477E-009, -9.80019E-002
-1.268594E-009, -1.101225E-001
-1.263711E-009, -9.94412E-002
-1.258828E-009, -1.047728E-001
-1.253946E-009, -8.83163E-002
-1.249063E-009, -9.22449E-002
-1.244180E-009, -9.91877E-002
-1.239297E-009, -1.003464E-001
-1.234414E-009, -1.113083E-001
-1.229532E-009, -1.003916E-001
-1.224649E-009, -1.045736E-001
-1.219766E-009, -8.30662E-002
-1.214883E-009, -1.014055E-001
-1.210000E-009, -9.02444E-002
-1.205118E-009, -1.088552E-001
-1.200235E-009, -1.206589E-001
-1.195352E-009, -1.050443E-001
-1.190469E-009, -1.042025E-001
-1.185586E-009, -9.26975E-002
-1.180703E-009, -1.038585E-001
-1.175821E-009, -9.86627E-002
-1.170938E-009, -1.149200E-001
-1.166055E-009, -1.141325E-001
-1.161172E-009, -1.058500E-001
-1.156289E-009, -1.025641E-001
-1.151407E-009, -9.27246E-002
-1.146524E-009, -1.024826E-001
-1.141641E-009, -9.85269E-002
-1.136758E-009, -1.197447E-001
-1.131875E-009, -1.190386E-001
-1.126993E-009, -1.097694E-001
-1.122110E-009, -1.021206E-001
-1.117227E-009, -8.24054E-002
-1.112344E-009, -1.027904E-001
-1.107461E-009, -9.87080E-002
-1.102578E-009, -1.106384E-001
-1.097696E-009, -9.77575E-002
-1.092813E-009, -1.124669E-001
-1.087930E-009, -8.79090E-002
-1.083047E-009, -8.12920E-002
-1.078164E-009, -9.76308E-002
-1.073282E-009, -1.005093E-001
-1.068399E-009, -1.100410E-001
-1.063516E-009, -1.033064E-001
-1.058633E-009, -1.039853E-001
-1.053750E-009, -8.28037E-002
-1.048868E-009, -9.12582E-002
-1.043985E-009, -9.36570E-002
-1.039102E-009, -1.006994E-001
-1.034219E-009, -1.211749E-001
-1.029336E-009, -1.002106E-001
-1.024453E-009, -1.044560E-001
-1.019571E-009, -9.13487E-002
-1.014688E-009, -1.058862E-001
-1.009805E-009, -9.06699E-002
-1.004922E-009, -1.084207E-001
-1.000039E-009, -1.206680E-001
-9.95157E-010, -9.38561E-002
-9.90274E-010, -1.025279E-001
-9.85391E-010, -9.27790E-002
-9.80508E-010, -9.99662E-002
