LECROYWR640Zi,55774,Waveform
Segments,1,SegmentSize,202
Segment,TrigTime,TimeSinceSegment1
#1,18-Nov-2019 09:45:25,0                 
Time,Ampl
-5.05e-09,-0.00186671
-5e-09,-0.00185383
-4.95e-09,-0.00184096
-4.9e-09,-0.00182809
-4.85e-09,-0.00181521
-4.8e-09,-0.00181521
-4.75e-09,-0.00181521
-4.7e-09,-0.00181521
-4.65e-09,-0.00181521
-4.6e-09,-0.00181521
-4.55e-09,-0.00180234
-4.5e-09,-0.00178946
-4.45e-09,-0.00178946
-4.4e-09,-0.00178946
-4.35e-09,-0.00180234
-4.3e-09,-0.00181521
-4.25e-09,-0.00182809
-4.2e-09,-0.00182809
-4.15e-09,-0.00182809
-4.1e-09,-0.00181521
-4.05e-09,-0.00181521
-4e-09,-0.00181521
-3.95e-09,-0.00181521
-3.9e-09,-0.00181521
-3.85e-09,-0.00181521
-3.8e-09,-0.00182809
-3.75e-09,-0.00184096
-3.7e-09,-0.00184096
-3.65e-09,-0.00182809
-3.6e-09,-0.00182809
-3.55e-09,-0.00181521
-3.5e-09,-0.00181521
-3.45e-09,-0.00181521
-3.4e-09,-0.00181521
-3.35e-09,-0.00180234
-3.3e-09,-0.00180234
-3.25e-09,-0.00180234
-3.2e-09,-0.00181521
-3.15e-09,-0.00182809
-3.1e-09,-0.00182809
-3.05e-09,-0.00184096
-3e-09,-0.00185383
-2.95e-09,-0.00186671
-2.9e-09,-0.00187958
-2.85e-09,-0.00187958
-2.8e-09,-0.00186671
-2.75e-09,-0.00182809
-2.7e-09,-0.00180234
-2.65e-09,-0.00178946
-2.6e-09,-0.00180234
-2.55e-09,-0.00181521
-2.5e-09,-0.00181521
-2.45e-09,-0.00182809
-2.4e-09,-0.00182809
-2.35e-09,-0.00182809
-2.3e-09,-0.00182809
-2.25e-09,-0.00184096
-2.2e-09,-0.00184096
-2.15e-09,-0.00182809
-2.1e-09,-0.00181521
-2.05e-09,-0.00180234
-2e-09,-0.00181521
-1.95e-09,-0.00182809
-1.9e-09,-0.00184096
-1.85e-09,-0.00185383
-1.8e-09,-0.00185383
-1.75e-09,-0.00185383
-1.7e-09,-0.00184096
-1.65e-09,-0.00184096
-1.6e-09,-0.00184096
-1.55e-09,-0.00184096
-1.5e-09,-0.00184096
-1.45e-09,-0.00184096
-1.4e-09,-0.00185383
-1.35e-09,-0.00184096
-1.3e-09,-0.00184096
-1.25e-09,-0.00182809
-1.2e-09,-0.00182809
-1.15e-09,-0.00181521
-1.1e-09,-0.00181521
-1.05e-09,-0.00181521
-1e-09,-0.00181521
-9.5e-10,-0.00181521
-9e-10,-0.00181521
-8.5e-10,-0.00181521
-8e-10,-0.00184096
-7.5e-10,-0.00185383
-7e-10,-0.00186671
-6.5e-10,-0.00186671
-6e-10,-0.00187958
-5.5e-10,-0.00187958
-5e-10,-0.00187958
-4.5e-10,-0.00186671
-4e-10,-0.00185383
-3.5e-10,-0.00184096
-3e-10,-0.00182809
-2.5e-10,-0.00182809
-2e-10,-0.00182809
