Type:          average
Points:        1350
Count:         512
XInc:          3.70370E-013
XOrg:          6.1122000000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1122000000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:05:18:64
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1122000E-008, -1.989944E-001
6.1122370E-008, -1.989763E-001
6.1122741E-008, -1.989854E-001
6.1123111E-008, -1.990216E-001
6.1123481E-008, -1.990216E-001
6.1123852E-008, -1.990669E-001
6.1124222E-008, -1.990306E-001
6.1124593E-008, -1.990216E-001
6.1124963E-008, -1.990306E-001
6.1125333E-008, -1.990306E-001
6.1125704E-008, -1.990759E-001
6.1126074E-008, -1.990669E-001
6.1126444E-008, -1.990759E-001
6.1126815E-008, -1.990850E-001
6.1127185E-008, -1.990940E-001
6.1127556E-008, -1.990850E-001
6.1127926E-008, -1.990940E-001
6.1128296E-008, -1.991031E-001
6.1128667E-008, -1.991212E-001
6.1129037E-008, -1.991121E-001
6.1129407E-008, -1.991031E-001
6.1129778E-008, -1.991302E-001
6.1130148E-008, -1.991483E-001
6.1130519E-008, -1.991393E-001
6.1130889E-008, -1.991755E-001
6.1131259E-008, -1.991664E-001
6.1131630E-008, -1.991845E-001
6.1132000E-008, -1.991845E-001
6.1132370E-008, -1.991845E-001
6.1132741E-008, -1.991664E-001
6.1133111E-008, -1.991845E-001
6.1133481E-008, -1.992117E-001
6.1133852E-008, -1.992026E-001
6.1134222E-008, -1.992207E-001
6.1134593E-008, -1.992298E-001
6.1134963E-008, -1.992569E-001
6.1135333E-008, -1.992660E-001
6.1135704E-008, -1.992750E-001
6.1136074E-008, -1.992388E-001
6.1136444E-008, -1.992660E-001
6.1136815E-008, -1.992660E-001
6.1137185E-008, -1.992569E-001
6.1137556E-008, -1.992841E-001
6.1137926E-008, -1.992931E-001
6.1138296E-008, -1.992931E-001
6.1138667E-008, -1.992931E-001
6.1139037E-008, -1.993022E-001
6.1139407E-008, -1.993294E-001
6.1139778E-008, -1.993203E-001
6.1140148E-008, -1.993656E-001
6.1140519E-008, -1.993294E-001
6.1140889E-008, -1.993475E-001
6.1141259E-008, -1.993656E-001
6.1141630E-008, -1.993565E-001
6.1142000E-008, -1.993837E-001
6.1142370E-008, -1.993837E-001
6.1142741E-008, -1.993837E-001
6.1143111E-008, -1.993746E-001
6.1143481E-008, -1.994199E-001
6.1143852E-008, -1.994199E-001
6.1144222E-008, -1.994018E-001
6.1144593E-008, -1.994199E-001
6.1144963E-008, -1.994651E-001
6.1145333E-008, -1.994651E-001
6.1145704E-008, -1.994289E-001
6.1146074E-008, -1.994470E-001
6.1146444E-008, -1.994470E-001
6.1146815E-008, -1.994289E-001
6.1147185E-008, -1.994470E-001
6.1147556E-008, -1.994651E-001
6.1147926E-008, -1.994832E-001
6.1148296E-008, -1.994742E-001
6.1148667E-008, -1.994832E-001
6.1149037E-008, -1.995104E-001
6.1149407E-008, -1.995013E-001
6.1149778E-008, -1.994832E-001
6.1150148E-008, -1.995376E-001
6.1150519E-008, -1.995285E-001
6.1150889E-008, -1.995104E-001
6.1151259E-008, -1.995466E-001
6.1151630E-008, -1.995194E-001
6.1152000E-008, -1.995466E-001
6.1152370E-008, -1.995557E-001
